semtag,id,term,DefStatus
situation,64081000119105,Family history of galactosemia (situation),Sufficiently defined
finding,641000119106,Intermittent asthma well controlled (finding),Primitive
situation,64111000119100,Family history of combined hyperlipidemia (situation),Sufficiently defined
situation,64121000119107,Family history of achondroplasia (situation),Sufficiently defined
situation,64131000119105,Family history of methylmalonic aciduria (situation),Sufficiently defined
situation,64161000119102,Family history of phenylketonuria (situation),Sufficiently defined
situation,64181000119106,Family history of Marfan syndrome (situation),Sufficiently defined
situation,64251000119106,Family history of glycogen storage disease (situation),Sufficiently defined
situation,64371000119105,Family history of beta thalassemia (situation),Sufficiently defined
situation,64431000119101,Family history of alpha thalassemia (situation),Sufficiently defined
situation,64501000119109,Family history of hemoglobinopathy (situation),Sufficiently defined
situation,64521000119100,Family history of Von Willebrand disease (situation),Sufficiently defined
situation,64571000119104,Family history of abdominal wall defect (situation),Primitive
situation,64651000119109,Family history of ambiguous genitalia (situation),Sufficiently defined
situation,64851000119105,Family history of Prader-Willi syndrome (situation),Sufficiently defined
situation,64911000119103,Family history of cystic hygroma (situation),Sufficiently defined
situation,65001000119101,Family history of connective tissue disorder (situation),Sufficiently defined
situation,65011000119103,Family history of autosomal aneuploidy (situation),Sufficiently defined
situation,65021000119105,Family history of neurofibromatosis (situation),Sufficiently defined
situation,65071000119106,Family history of fragile X syndrome (situation),Sufficiently defined
situation,65501000119108,History of breast reconstruction (situation),Sufficiently defined
procedure,669251000168104,Defense force post-deployment medical examination (procedure),Primitive
procedure,669261000168102,Defense force preliminary post-deployment medical examination (procedure),Primitive
procedure,669271000168108,Defense force pre-deployment medical examination (procedure),Primitive
procedure,669281000168106,Defense force preliminary pre-deployment medical examination (procedure),Primitive
procedure,669311000168108,Defense force pre-deployment health assessment (procedure),Primitive
procedure,669321000168101,Defense force pre-deployment health screen (procedure),Primitive
situation,672261000119100,History of repair of aneurysm of thoracoabdominal aorta (situation),Sufficiently defined
situation,67231000119106,History of extracorporeal membrane oxygenation (situation),Sufficiently defined
situation,674191000119109,History of syncope (situation),Sufficiently defined
situation,681201000119104,History of prostatitis (situation),Sufficiently defined
situation,681211000119101,History of myocarditis (situation),Sufficiently defined
situation,681221000119108,History of herpes zoster (situation),Sufficiently defined
situation,681291000119105,History of mycosis fungoides (situation),Sufficiently defined
situation,681341000119108,History of cornea graft failure (situation),Sufficiently defined
situation,681381000119103,History of infection of total knee joint prothesis (situation),Sufficiently defined
situation,690051000119100,History of cerebellar stroke (situation),Primitive
situation,690461000119106,History of bradycardia (situation),Sufficiently defined
situation,690471000119100,History of fusion of thoracolumbar spine (situation),Sufficiently defined
situation,690481000119102,History of carotid artery dissection (situation),Primitive
situation,690491000119104,History of cardiomyopathy (situation),Sufficiently defined
situation,690501000119106,History of open prostatectomy (situation),Sufficiently defined
situation,690511000119109,History of radical prostatectomy (situation),Sufficiently defined
situation,690711000119103,History of acquired spondylolisthesis (situation),Sufficiently defined
situation,691171000119104,History of pulmonary valvuloplasty (situation),Sufficiently defined
situation,691191000119103,History of pituitary adenoma (situation),Sufficiently defined
situation,691201000119100,History of adrenal adenoma (situation),Sufficiently defined
situation,691291000119106,History of adrenalectomy (situation),Sufficiently defined
situation,691371000119102,History of malignant neoplasm of parotid gland (situation),Sufficiently defined
situation,691491000119105,History of esophagitis (situation),Sufficiently defined
situation,691501000119103,History of gastritis (situation),Sufficiently defined
situation,69551000119109,History of squamous cell carcinoma (situation),Sufficiently defined
situation,69731000119107,Family history of short stature (situation),Sufficiently defined
situation,69751000119101,History of radical nephrectomy (situation),Sufficiently defined
situation,70561000119109,History of heartburn (situation),Sufficiently defined
situation,70661000119105,History of arthrodesis of ankle (situation),Sufficiently defined
substance,708558004,Amoxicillin + clavulanate (substance),Primitive
organism,708559007,Genus Fontibacillus (organism),Primitive
organism,708560002,Fontibacillus panacisegetis (organism),Primitive
substance,708561003,Bromhexine (substance),Primitive
substance,708562005,Xantinol nicotinate (substance),Primitive
substance,708563000,Tuaminoheptane sulfate (substance),Primitive
organism,708564006,Fontibacillus aquaticus (organism),Primitive
substance,708565007,Phenylalanine + tyrosine (substance),Primitive
organism,708566008,Acinetobacter indicus (organism),Primitive
organism,708567004,Bacteroides massiliensis (organism),Primitive
organism,708568009,Vibrio azureus (organism),Primitive
organism,708569001,Tessaracoccus oleiagri (organism),Primitive
organism,708570000,Streptococcus rubneri (organism),Primitive
finding,708571001,Demonstrates knowledge of who to contact in medical emergency (finding),Primitive
substance,708572008,Dihydroergocryptine mesylate (substance),Primitive
morphologic abnormality,708573003,Cavitated caries (morphologic abnormality),Primitive
morphologic abnormality,708574009,Non-cavitated caries (morphologic abnormality),Primitive
morphologic abnormality,708575005,Secondary caries (morphologic abnormality),Primitive
morphologic abnormality,708576006,Primary caries (morphologic abnormality),Primitive
morphologic abnormality,708577002,Non-active caries (morphologic abnormality),Primitive
morphologic abnormality,708578007,Active caries (morphologic abnormality),Primitive
body structure,708579004,Inner third of dentin (body structure),Primitive
body structure,708580001,Middle third of dentin (body structure),Primitive
body structure,708581002,Outer third of dentin (body structure),Primitive
body structure,708582009,Inner half of dentin (body structure),Primitive
body structure,708583004,Outer half of dentin (body structure),Primitive
body structure,708584005,Inner half of enamel (body structure),Primitive
body structure,708585006,Outer half of enamel (body structure),Primitive
body structure,708586007,Dentinopulpal junction (body structure),Primitive
procedure,708587003,Marsupialization of abscess of pharynx (procedure),Sufficiently defined
procedure,708588008,Marsupialization of abscess of nasopharynx (procedure),Sufficiently defined
procedure,708589000,Laparoscopic resection of segment of liver (procedure),Sufficiently defined
procedure,708590009,Laparoscopic wedge resection of liver (procedure),Sufficiently defined
finding,708592001,Non-metallic colored dental restoration present (finding),Primitive
finding,708593006,Metallic colored dental restoration present (finding),Primitive
finding,708594000,Indirect dental restoration present (finding),Primitive
finding,708595004,Direct dental restoration present (finding),Primitive
finding,708596003,Loss of access hole filling (finding),Primitive
substance,708597007,Adenosine triphosphate disodium (substance),Primitive
substance,708598002,Cefditoren (substance),Primitive
substance,708599005,Methoxyphenamine hydrochloride (substance),Primitive
substance,708600008,Menadione sodium bisulfite (substance),Primitive
procedure,708601007,Percutaneous drainage of extraperitoneal abscess (procedure),Sufficiently defined
procedure,708602000,Percutaneous fine needle aspiration biopsy of humerus using imaging guidance (procedure),Sufficiently defined
procedure,708603005,Percutaneous fine needle aspiration biopsy of tarsus using imaging guidance (procedure),Sufficiently defined
procedure,708604004,Percutaneous fine needle aspiration biopsy of vertebra using imaging guidance (procedure),Sufficiently defined
procedure,708605003,Percutaneous fine needle aspiration biopsy of joint structure of shoulder using imaging guidance (procedure),Sufficiently defined
procedure,708606002,Percutaneous fine needle aspiration biopsy of joint of hip using imaging guidance (procedure),Sufficiently defined
procedure,708607006,Percutaneous fine needle aspiration biopsy of joint of knee using imaging guidance (procedure),Sufficiently defined
procedure,708608001,Percutaneous fine needle aspiration biopsy of soft tissue using imaging guidance (procedure),Sufficiently defined
procedure,708609009,Percutaneous drainage of joint of finger using imaging guidance (procedure),Sufficiently defined
situation,70861000119106,History of gastroesophageal reflux disease (situation),Sufficiently defined
procedure,708610004,Percutaneous drainage of joint of hip using imaging guidance (procedure),Sufficiently defined
procedure,708611000,Percutaneous drainage of joint of knee using imaging guidance (procedure),Sufficiently defined
procedure,708612007,Percutaneous drainage of abscess of liver (procedure),Sufficiently defined
procedure,708613002,Percutaneous drainage of abscess of peritoneum (procedure),Sufficiently defined
procedure,708614008,Laparoscopic lysis of adhesion of peritoneum (procedure),Sufficiently defined
substance,708615009,beta-Cortolone (substance),Primitive
procedure,708616005,Biopsy of perirectal tissue (procedure),Sufficiently defined
substance,708617001,Sennoside B (substance),Primitive
procedure,708618006,Aspiration of testis (procedure),Sufficiently defined
procedure,708619003,Open biopsy of testis (procedure),Sufficiently defined
procedure,708620009,Repair of scrotum and tunica vaginalis (procedure),Sufficiently defined
procedure,708621008,Insertion of stent into urethra (procedure),Sufficiently defined
procedure,708622001,Local excision of lesion of prostate (procedure),Sufficiently defined
procedure,708623006,Removal of calculus of urethra (procedure),Sufficiently defined
procedure,708624000,Transurethral biopsy of bladder (procedure),Sufficiently defined
procedure,708625004,Open radiofrequency ablation of lesion of liver (procedure),Sufficiently defined
procedure,708626003,Suture of laceration of scrotum and tunica vaginalis (procedure),Sufficiently defined
procedure,708627007,Laparoscopic excision of small intestine (procedure),Sufficiently defined
procedure,708628002,Laparoscopic biopsy of lesion of peritoneum (procedure),Sufficiently defined
procedure,708629005,Laparoscopic bypass gastrojejunostomy (procedure),Sufficiently defined
procedure,708630000,Open drainage of abscess of liver (procedure),Sufficiently defined
procedure,708631001,Laparoscopic-assisted low anterior resection of rectum (procedure),Sufficiently defined
procedure,708632008,Laparoscopic incision and exploration of common bile duct (procedure),Sufficiently defined
procedure,708633003,Laparoscopic gastropexy (procedure),Sufficiently defined
procedure,708634009,Excision of sacrococcygeal teratoma (procedure),Primitive
procedure,708635005,Suture of laceration of vas deferens and epididymis (procedure),Sufficiently defined
procedure,708636006,Open drainage of intraperitoneal abscess (procedure),Sufficiently defined
finding,708637002,Increased incisal display at rest (finding),Primitive
finding,708638007,Decreased incisal display at rest (finding),Primitive
procedure,708639004,Excision of intramuscular lipoma (procedure),Sufficiently defined
procedure,708640002,Laparoscopic exploration of common bile duct using robotic assistance (procedure),Sufficiently defined
procedure,708641003,Thoracoscopic repair of congenital diaphragmatic hernia (procedure),Sufficiently defined
procedure,708642005,Laparoscopic fixation of rectum using robotic assistance (procedure),Sufficiently defined
procedure,708643000,Laparoscopic proximal subtotal gastrectomy using robotic assistance (procedure),Sufficiently defined
procedure,708644006,Laparoscopic closure of ulcer of stomach using patch (procedure),Sufficiently defined
procedure,708645007,Laparoscopic closure of ulcer of duodenum using patch (procedure),Sufficiently defined
procedure,708646008,Laparotomy with biopsy of peritoneum (procedure),Sufficiently defined
procedure,708647004,Laparotomy with biopsy of omentum (procedure),Sufficiently defined
procedure,708648009,Laparotomy with biopsy of pancreas (procedure),Sufficiently defined
procedure,708649001,Division of tendon of neck (procedure),Sufficiently defined
procedure,708650001,Excision of part of phalanx of hand (procedure),Sufficiently defined
procedure,708651002,Partial excision of vertebra (procedure),Sufficiently defined
procedure,708652009,Narcotics education (procedure),Primitive
disorder,708653004,Gingival disease due to drug (disorder),Sufficiently defined
disorder,708654005,Convergent root proximity (disorder),Primitive
disorder,708655006,Necrosis following injection of local anesthetic (disorder),Primitive
procedure,708656007,Dual energy X-ray absorptiometry scan of wrist (procedure),Primitive
substance,708657003,beta Tryptase (substance),Primitive
substance,708658008,Zinc amino acid chelate (substance),Primitive
physical object,708659000,Window trough (physical object),Primitive
physical object,708660005,Window sill (physical object),Primitive
substance,708661009,Tribenoside (substance),Primitive
substance,708662002,Tretoquinol (substance),Primitive
substance,708663007,Tretoquinol hydrochloride (substance),Primitive
substance,708664001,Mature tryptase (substance),Primitive
substance,708665000,Alanine + cystine + histidine + homocysteine + leucine + phenylalanine + tyrosine (substance),Primitive
procedure,708666004,Ultrasound guided injection of botulinum toxin (procedure),Sufficiently defined
finding,708667008,Increased gonial angle (finding),Sufficiently defined
finding,708668003,Decreased gonial angle (finding),Sufficiently defined
disorder,708669006,Bifid mandibular condyle (disorder),Sufficiently defined
finding,708670007,Anteverted nostril (finding),Primitive
finding,708671006,Decreased incisal display on smiling (finding),Primitive
disorder,708672004,Odontohypophosphatasia (disorder),Primitive
disorder,708673009,Parosmia (disorder),Primitive
disorder,708674003,Hemimaxillofacial dysplasia (disorder),Primitive
observable entity,708675002,Gonial angle (observable entity),Primitive
body structure,708676001,Structure of mandibular fossa (body structure),Primitive
disorder,708677005,Congenital malformation of mandibular glenoid fossa (disorder),Sufficiently defined
procedure,708678000,Percutaneous fine needle aspiration biopsy of vulva using imaging guidance (procedure),Sufficiently defined
procedure,708679008,Percutaneous drainage of kidney using imaging guidance (procedure),Sufficiently defined
procedure,708680006,Percutaneous drainage of peritoneum using imaging guidance (procedure),Sufficiently defined
procedure,708681005,Percutaneous drainage of retroperitoneum using imaging guidance (procedure),Sufficiently defined
procedure,708682003,Percutaneous drainage of pelvic cavity using imaging guidance (procedure),Sufficiently defined
procedure,708683008,Percutaneous drainage of pancreas using imaging guidance (procedure),Sufficiently defined
procedure,708684002,Percutaneous drainage of gallbladder using imaging guidance (procedure),Sufficiently defined
observable entity,708685001,Mandibular plane angle (observable entity),Primitive
finding,708686000,Hyperdivergent mandibular plane angle (finding),Sufficiently defined
procedure,708687009,Percutaneous fine needle aspiration biopsy of pelvic cavity using imaging guidance (procedure),Sufficiently defined
procedure,708688004,Percutaneous fine needle aspiration biopsy of kidney using imaging guidance (procedure),Sufficiently defined
procedure,708689007,Removal of loose suture in eye (procedure),Primitive
procedure,708690003,Dual energy X-ray photon absorptiometry scan of spine (procedure),Primitive
procedure,708691004,Somatosensory evoked potential study (procedure),Primitive
procedure,708692006,Intraoperative brainstem auditory evoked potential test (procedure),Primitive
procedure,708693001,Percutaneous fine needle aspiration biopsy of abdominal wall using imaging guidance (procedure),Sufficiently defined
procedure,708694007,Percutaneous fine needle aspiration biopsy of bone marrow using imaging guidance (procedure),Sufficiently defined
procedure,708695008,Percutaneous fine needle aspiration biopsy of rectum using imaging guidance (procedure),Sufficiently defined
procedure,708697000,Percutaneous fine needle aspiration biopsy of liver using imaging guidance (procedure),Sufficiently defined
procedure,708698005,Percutaneous fine needle aspiration biopsy of pancreas using imaging guidance (procedure),Sufficiently defined
finding,708699002,Stool DNA-based colorectal cancer screening positive (finding),Primitive
physical object,708700001,Private water well (physical object),Primitive
procedure,708701002,Percutaneous fine needle aspiration biopsy of peritoneum using imaging guidance (procedure),Sufficiently defined
procedure,708702009,Percutaneous fine needle aspiration biopsy of lymphatic structure using imaging guidance (procedure),Sufficiently defined
substance,708703004,Tocotrienol (substance),Primitive
substance,708704005,Threitol (substance),Primitive
substance,708705006,Sulfogaiacol (substance),Primitive
substance,708706007,Suberate unsaturated (substance),Primitive
procedure,708707003,Intraoperative electromyography (procedure),Primitive
substance,708708008,Tricarboxylporphyrin 1 (substance),Primitive
substance,708709000,Tricarboxylporphyrin 3 (substance),Primitive
situation,70871000119100,History of irritable bowel syndrome (situation),Sufficiently defined
substance,708710005,Transforming growth factor beta 1 (substance),Primitive
substance,708711009,Trametinib (substance),Primitive
substance,708712002,Tiglylcarnitine (substance),Primitive
substance,708713007,Taliglucerase alfa (substance),Primitive
substance,708714001,Suvorexant (substance),Primitive
substance,708715000,15-Anhydrosorbitol (substance),Primitive
substance,708716004,Androstenedione + 17-Hydroxyprogesterone (substance),Primitive
substance,708717008,Vortioxetine (substance),Primitive
substance,708718003,Vorapaxar (substance),Primitive
substance,708719006,Pregnanetriolone (substance),Primitive
substance,708720000,2-Hydroxyestrone (substance),Primitive
substance,708721001,2-Methylglutarate (substance),Primitive
physical object,708722008,Municipal water system and well (physical object),Primitive
substance,708723003,Magnesium acetate (substance),Primitive
substance,708724009,16 alpha-hydroxyestrone (substance),Primitive
substance,708725005,16-alpha-Hydroxypregnenolone (substance),Primitive
substance,708726006,16 alpha-hydroxydehydroepiandrosterone (substance),Primitive
substance,708727002,Dehydroepiandrosterone unconjugated (substance),Primitive
disorder,708728007,Traumatic brain injury of unknown intent (disorder),Primitive
procedure,708729004,Extensive debulking of neoplasm of abdominal cavity (procedure),Primitive
procedure,708730009,Open incision of liver (procedure),Sufficiently defined
procedure,708731008,Endoscopic insertion of nasobiliary drainage tube (procedure),Primitive
procedure,708732001,Intraoperative somatosensory evoked potential study (procedure),Primitive
procedure,708733006,Angiography of liver (procedure),Sufficiently defined
procedure,708734000,X-ray of prostate and seminal vesicles (procedure),Sufficiently defined
assessment scale,708735004,Epworth Sleepiness Scale (assessment scale),Primitive
assessment scale,708736003,Follicular Lymphoma International Prognostic Index (assessment scale),Primitive
procedure,708737007,Stripping of larynx (procedure),Sufficiently defined
procedure,708738002,Excisional debridement of burn involving less than 5% of body surface (procedure),Primitive
procedure,708739005,Biopsy of lesion of oral cavity (procedure),Sufficiently defined
procedure,708740007,Biopsy of buccal mucosa (procedure),Sufficiently defined
procedure,708741006,Biopsy of soft palate (procedure),Sufficiently defined
procedure,708742004,Fiberoptic laryngoscopy with biopsy (procedure),Sufficiently defined
procedure,708743009,Thoracoscopic biopsy of pericardium (procedure),Sufficiently defined
procedure,708744003,Transluminal biopsy of right ventricle (procedure),Primitive
procedure,708745002,Endoscopic needle biopsy of nasal sinus (procedure),Sufficiently defined
procedure,708746001,Open biopsy of salivary gland (procedure),Sufficiently defined
procedure,708747005,Laparoscopic biopsy of ovary (procedure),Sufficiently defined
substance,708748000,Arginine + argininosuccinate + lysine + serine + taurine (substance),Primitive
substance,708749008,Androstenetriol (substance),Primitive
substance,708750008,16-Oxoandrostenediol (substance),Primitive
substance,708751007,Cysteine + cystine (substance),Primitive
substance,708752000,Immunoglobulin A antibody to Yersinia enterocolitica (substance),Primitive
substance,708753005,Immunoglobulin A antibody to Yersinia species (substance),Primitive
substance,708754004,Immunoglobulin A antibody to Francisella tularensis (substance),Primitive
substance,708755003,Immunoglobulin A antibody to Toxoplasma gondii (substance),Primitive
substance,708756002,Immunoglobulin A antibody to Helicobacter pylori (substance),Primitive
substance,708757006,Immunoglobulin A antibody to Toxocara canis (substance),Primitive
substance,708758001,Immunoglobulin A antibody to Salmonella species (substance),Primitive
substance,708759009,Immunoglobulin A antibody to Histoplasma capsulatum (substance),Primitive
substance,708760004,Immunoglobulin A antibody to Mycoplasma pneumoniae (substance),Primitive
substance,708761000,Immunoglobulin A antibody to Respiratory syncytial virus (substance),Primitive
substance,708762007,Immunoglobulin A antibody to Trichinella species (substance),Primitive
substance,708763002,Immunoglobulin A antibody to Trichinella spiralis (substance),Primitive
substance,708764008,Immunoglobulin A antibody to Giardia lamblia (substance),Primitive
substance,708765009,Immunoglobulin A antibody to Rickettsia typhi (substance),Primitive
substance,708766005,Immunoglobulin A antibody to Sporothrix schenckii (substance),Primitive
substance,708767001,Immunoglobulin A antibody to Taenia solium larva (substance),Primitive
substance,708768006,Immunoglobulin A antibody to Influenza virus B (substance),Primitive
substance,708769003,Immunoglobulin A antibody to Measles virus (substance),Primitive
substance,708770002,Immunoglobulin A antibody to Rotavirus (substance),Primitive
substance,708771003,Immunoglobulin A antibody to Parainfluenza virus 1 + 2 + 3 + 4 (substance),Primitive
substance,708772005,Immunoglobulin A antibody to Saccharomyces cerevisiae (substance),Primitive
substance,708773000,Immunoglobulin A antibody to Trichothecene (substance),Primitive
substance,708774006,Immunoglobulin E antibody to Histoplasma capsulatum (substance),Primitive
substance,708775007,Immunoglobulin A antibody to Phosphatidylserine (substance),Primitive
substance,708776008,Immunoglobulin E antibody to Macadamia spp. (substance),Primitive
substance,708777004,Immunoglobulin E antibody to Toxocara canis (substance),Primitive
substance,708778009,Immunoglobulin E antibody to Toxoplasma gondii (substance),Primitive
substance,708779001,Immunoglobulin E antibody to Gadus morhua + Mytilus edulis + Pandalus borealis + Salmo salar + Thunnus albacares (substance),Primitive
substance,708780003,Immunoglobulin E antibody to Myrica spp. pollen (substance),Primitive
substance,708781004,Immunoglobulin E antibody to Pigweed rough (substance),Primitive
substance,708782006,Immunoglobulin E antibody to Platanus occidentalis (substance),Primitive
substance,708783001,Immunoglobulin E antibody to Prunus dulcis (substance),Primitive
substance,708784007,Immunoglobulin E antibody to Quercus virginiana (substance),Primitive
substance,708785008,Immunoglobulin E antibody to Saccharomyces cerevisiae (substance),Primitive
substance,708786009,Immunoglobulin E antibody to Setomelanomma rostrata (substance),Primitive
substance,708787000,Immunoglobulin E antibody to Trichothecene (substance),Primitive
substance,708788005,Immunoglobulin A antibody to Influenza virus A (substance),Primitive
procedure,708789002,Suture of laceration of mouth (procedure),Sufficiently defined
procedure,708790006,Suture of laceration of lip (procedure),Sufficiently defined
disorder,708791005,Laceration of mouth (disorder),Sufficiently defined
substance,708792003,Ceftolozane (substance),Primitive
substance,708794002,Finafloxacin (substance),Primitive
morphologic abnormality,708795001,Adenomyomatous polyp (morphologic abnormality),Primitive
morphologic abnormality,708799007,Atypical basal cell hyperplasia (morphologic abnormality),Primitive
procedure,708800006,Extraction of calculus of biliary tract (procedure),Sufficiently defined
procedure,708801005,Adjustment of urethral catheter (procedure),Sufficiently defined
procedure,708802003,Excision of mass of scalp (procedure),Sufficiently defined
procedure,708803008,Wedge resection of ingrowing toenail (procedure),Sufficiently defined
procedure,708804002,Insertion of totally implantable infusion pump (procedure),Primitive
substance,708805001,Iron polymaltose (substance),Primitive
substance,708806000,Lactobacillus reuteri (substance),Primitive
procedure,708807009,Incision and drainage of skin and subcutaneous tissue (procedure),Sufficiently defined
substance,708808004,Lixisenatide (substance),Primitive
disorder,708809007,Adverse drug reaction resulting from treatment of disorder (disorder),Primitive
procedure,708810002,Endovascular retrieval of foreign body from aorta (procedure),Primitive
procedure,708811003,Percutaneous drainage of pleura using imaging guidance (procedure),Sufficiently defined
procedure,708812005,Percutaneous drainage of lung using imaging guidance (procedure),Sufficiently defined
procedure,708813000,Percutaneous fine needle aspiration biopsy of lung using imaging guidance (procedure),Sufficiently defined
procedure,708814006,Percutaneous fine needle aspiration biopsy of salivary gland using imaging guidance (procedure),Sufficiently defined
procedure,708815007,Percutaneous fine needle aspiration biopsy of adrenal gland using imaging guidance (procedure),Sufficiently defined
procedure,708816008,Laparoscopic bilateral salpingo-oophorectomy using robotic assistance (procedure),Sufficiently defined
procedure,708817004,Open excision of stricture of ureter (procedure),Sufficiently defined
procedure,708818009,Laparoscopic wedge resection of liver using robotic assistance (procedure),Sufficiently defined
procedure,708819001,Laparoscopic omentectomy (procedure),Sufficiently defined
procedure,708820007,Percutaneous fine needle aspiration biopsy of pleura using imaging guidance (procedure),Sufficiently defined
procedure,708821006,Percutaneous fine needle aspiration biopsy of mediastinum using imaging guidance (procedure),Sufficiently defined
substance,708822004,Secukinumab (substance),Primitive
substance,708823009,Simeprevir (substance),Primitive
substance,708824003,Sodium taurocholate (substance),Primitive
substance,708825002,Oteracil (substance),Primitive
substance,708828000,Elvitegravir (substance),Primitive
substance,708829008,Epoetin theta (substance),Primitive
substance,708830003,Eprazinone (substance),Primitive
substance,708831004,Eprazinone hydrochloride (substance),Primitive
substance,708832006,Free 3-hydroxydecanoate (substance),Primitive
substance,708833001,4-Fumarylacetoacetic acid (substance),Primitive
substance,708834007,Heptacarboxylporphyrin I (substance),Primitive
substance,708835008,Heptacarboxylporphyrin III (substance),Primitive
substance,708836009,Hexacarboxylporphyrin I (substance),Primitive
substance,708837000,Hexacarboxylporphyrin III (substance),Primitive
substance,708838005,Pentacarboxylporphyrin I (substance),Primitive
substance,708839002,Free 3-hydroxymyristate (substance),Primitive
substance,708840000,Free 3-hydroxyoctanoate (substance),Primitive
substance,708841001,Free 3-hydroxyhexanoate (substance),Primitive
substance,708842008,Free 3-hydroxydodecanoate (substance),Primitive
substance,708843003,2-Deoxytetronate (substance),Primitive
substance,708844009,Stearoylcarnitine (substance),Primitive
substance,708845005,Deoxypyridinoline + pyridinoline (substance),Primitive
substance,708846006,Cyanocobalamin + folic acid (substance),Primitive
substance,708847002,Choriogonadotropin + human chorionic gonadotropin beta subunit (substance),Primitive
substance,708848007,beta globulin + gamma globulin (substance),Primitive
substance,708849004,beta 2 globulin + gamma globulin (substance),Primitive
substance,708850004,N-2-hydroxyethyl valine (substance),Primitive
procedure,708851000,Arthroscopy of subtalar joint (procedure),Sufficiently defined
procedure,708852007,Excision of lesion of tonsil and adenoid (procedure),Sufficiently defined
procedure,708853002,Obliteration of vaginal vault (procedure),Sufficiently defined
procedure,708854008,Excision of hemangioma of finger (procedure),Sufficiently defined
procedure,708855009,Excision of lesion of buccal mucosa (procedure),Sufficiently defined
procedure,708856005,Excision of lesion of oral cavity (procedure),Sufficiently defined
procedure,708857001,Laser goniopuncture (procedure),Primitive
procedure,708858006,Revision of stapedectomy with incus replacement (procedure),Primitive
organism,708859003,Acinetobacter nosocomialis (organism),Primitive
procedure,708860008,Percutaneous transluminal angioplasty of superior vena cava (procedure),Sufficiently defined
procedure,708861007,Percutaneous cryoablation of lung (procedure),Sufficiently defined
procedure,708862000,Transcatheter embolization of head and neck vessel (procedure),Sufficiently defined
substance,708863005,Immunoglobulin A antibody and immunoglobulin E antibody to Toxoplasma gondii (substance),Primitive
substance,708864004,Ascorbate + dehydroascorbate (substance),Primitive
procedure,708865003,Arthrotomy with drainage of joint of foot (procedure),Sufficiently defined
procedure,708866002,Arthrotomy with drainage of joint of finger (procedure),Sufficiently defined
procedure,708867006,Arthrotomy with drainage of joint of wrist (procedure),Sufficiently defined
procedure,708868001,Arthrotomy with drainage of joint of elbow (procedure),Sufficiently defined
procedure,708869009,Arthrotomy with drainage of glenohumeral joint (procedure),Sufficiently defined
procedure,708870005,Injection of piriformis muscle (procedure),Sufficiently defined
procedure,708871009,Removal of locking nail device from tibia (procedure),Sufficiently defined
procedure,708872002,Percutaneous transluminal angioplasty of artery of lower limb (procedure),Sufficiently defined
procedure,708873007,Percutaneous transluminal angioplasty of vein of upper limb (procedure),Sufficiently defined
procedure,708874001,Percutaneous transluminal angioplasty of artery of upper limb (procedure),Sufficiently defined
procedure,708875000,Percutaneous radiofrequency ablation of lesion of adrenal gland (procedure),Sufficiently defined
procedure,708876004,Laparoscopic appendectomy using robotic assistance (procedure),Sufficiently defined
procedure,708877008,Laparoscopic total hysterectomy using robotic assistance (procedure),Sufficiently defined
procedure,708878003,Laparoscopic radical hysterectomy using robotic assistance (procedure),Sufficiently defined
procedure,708879006,Grafting of bone of rib (procedure),Sufficiently defined
procedure,708880009,Grafting of bone of sternum (procedure),Sufficiently defined
procedure,708881008,Excision of bone of sternum for graft (procedure),Sufficiently defined
procedure,708882001,Arthroscopic removal of loose body from joint of foot (procedure),Sufficiently defined
procedure,708883006,Insertion of prosthesis of joint of toe (procedure),Sufficiently defined
procedure,708884000,Excision of emphysematous bleb of lung (procedure),Sufficiently defined
procedure,708885004,Removal of implant from scapula (procedure),Sufficiently defined
procedure,708886003,Percutaneous drainage of retroperitoneal abscess (procedure),Sufficiently defined
procedure,708887007,Excision of neoplasm of sympathetic nerve (procedure),Sufficiently defined
procedure,708888002,Laparoscopic para-aortic lymph node dissection using robotic assistance (procedure),Sufficiently defined
procedure,708889005,Laparoscopic segmentectomy of liver using robotic assistance (procedure),Sufficiently defined
procedure,708890001,Laparoscopic cardiomyotomy (procedure),Primitive
finding,708891002,Emotionally stable (finding),Primitive
qualifier value,708892009,Hmong language (qualifier value),Primitive
procedure,708893004,Removal of bone screw device from femur (procedure),Sufficiently defined
procedure,708894005,Removal of plate device from metacarpal bone (procedure),Sufficiently defined
assessment scale,708895006,Deauville five point scale (assessment scale),Primitive
observable entity,708896007,Deauville five point scale score (observable entity),Primitive
procedure,708897003,Removal of calculus of salivary gland (procedure),Sufficiently defined
procedure,708898008,Closed reduction of fracture of proximal femur and internal fixation using bone screw (procedure),Sufficiently defined
procedure,708899000,Closed reduction of fracture of femur and internal fixation using dynamic condylar screw plate (procedure),Sufficiently defined
procedure,708900005,Closed reduction of fracture of proximal femur and internal fixation using bone wire (procedure),Sufficiently defined
morphologic abnormality,708901009,Vascular transformation of lymph node sinuses (morphologic abnormality),Primitive
procedure,708902002,Closed reduction of fracture of femur and internal fixation using bone plate (procedure),Sufficiently defined
procedure,708903007,Closed reduction of fracture of proximal femur and internal fixation using bone nail (procedure),Sufficiently defined
procedure,708904001,Closed reduction of fracture of femur and internal fixation using bone nail (procedure),Sufficiently defined
procedure,708905000,Closed reduction of fracture of femur and internal fixation using dynamic hip screw plate (procedure),Sufficiently defined
procedure,708906004,Closed reduction of fracture of femur and internal fixation using locking nail (procedure),Sufficiently defined
